Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
?;existiert nicht;existiert nicht;"Jesus sagte: Liebe deine Freunde wie deine eigene Seele; wache über sie, schütze sie wie deine Augen. ";irgendetwas virtuell-neuronales;Unidirektionalität;nicht in den nächsten wenigen Jahrtausenden;?;Freundeskreisliebe;-;Freundeskreisliebe;?;?;?;Transzendenz-Senden-und-Empfangen-Fähigkeit;19;existiert bisher nicht;11;siehe oben;keine Primzahl;?;?;?;?;?;Transzendenz senden;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;Freundeskreisliebe, statt einfach nur Freundschaftsliebe;?;?;Wodurch ist die Welt: durch dein Freundeskreis (25);?;?;Die 25 ist für die 11, weil Mädchen, die mit den Gefühlen der Freunde spielen, die Freunde von ihr abhängig machen (Angelika [11], Marko [12], Ich [10]);;;;;;?;vielleicht irgendwelche klassische KI-Sach-unter-Themen, wie Folgern, Vollständigkeit, Unifkation, usw.?;;?;?;?;;;;;?;Interaktion;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;Wechselwirken;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Du erkennst den Splitter im Auge deines Freundes, aber den Balken in deinem eigenem Auge siehst du nicht. Wenn du den Balken aus deinem Auge gezogen hast, dann wirst du deutlich sehen, wie du Splitter aus deines Freundes Auge ziehen kannst. ;?;Bidirektionalität;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Senden-und-Empfangen-Fähigkeit;20;existiert bisher nicht;12;siehe oben;keine Primzahl;?;?;-;?;?;Peer to Peer Transzendenz;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;schlecht sein können, Modallogik: Möglichkeit (◇);lieb sein können, d.h. eigentlich Modallogik: keine Notwendigkeit (¬◻) schlecht sein zu brauchen;;;Gemeinsam kann man die Optimierung dann wirklich umkehren, was man allein mit der 13 nicht hinbekommen konnte, bzw. man konnte das mglw. nur für das Heptagramm. D.h. das hier ist eine Peer to Peer Verbindung, wie man das in der Netzwerksprache sagt.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;interaktions-übergreifend (cross-interaction);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;Wechselwirken;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn ihr euch nicht der Welt entzieht, werdet ihr niemals das Königreich finden. Wenn ihr den Sabbat nicht feiert wie den Sabbat, werdet ihr den (wahren) Vater nicht sehen. ;?;Livelock und Deadlock;nicht in den nächsten wenigen Jahrtausenden;?;;-;Loslösung;?;?;?;Transzendenz-Anordnungs-Fähigkeit;21;existiert bisher nicht;13;siehe oben;keine Primzahl;?;?;-;?;?;Peer to Peer Transzendenz;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;das hier nutzen, um kooperativ zu sein;das hier nicht nutzen, um kooperativ zu sein;Gemeinsam kann man die Optimierung dann wirklich umkehren, was man allein mit der 13 nicht hinbekommen konnte, bzw. man konnte das mglw. nur für das Heptagramm. D.h. das hier ist eine Peer to Peer Verbindung, wie man das in der Netzwerksprache sagt.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;Meta-interaktions-übergreifend (meta-cross-interaction);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;Wechselwirken;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ich habe meine Position in der Mitte der Welt eingenommen und erschien ihnen in Fleisch und Blut. Ich habe sie alle betrunken vorgefunden und niemand unter ihnen war länger durstig. Meine Seele war betrübt, der Menschenkinder wegen, denn sie sind blind in ihrem Herzen und sie erkennen nicht, dass sie leer in die Welt gekommen sind und versuchen, die Welt auch wieder leer zu verlassen. Doch nun sind sie betrunken. Wenn sie ihren Wein abschütteln, so werden sie ihre Richtung ändern. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Anordnungs-Fähigkeit;22;existiert bisher nicht;14;siehe oben;keine Primzahl;?;?;-;?;?;Transzendenz Netzwerk-Topologien;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;gut machen;1. schafft nicht das Gute, 2. Möglichkeit zum Bösen bzw. eigentlich keine Notwendigkeit zum Guten (Modallogik),  keine 3.  Rechtmäßigkeit bzw.  keine 3. Musterung zum Guten, bzw. 3. kein Hinterfragen, d.h. ggf. böse, Modallogik mit 4 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;Menschen zu Anführern machen.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;Formation bzw. übergreifend meta-interaktionübergreifend (cross-meta-cross-interaction);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;Wechselwirken;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn das Fleisch durch den Geist zur Existenz gelangt ist, so ist das ein Wunder, doch wenn der Geist mithilfe des Leibes völlig ins Sein getreten ist, so ist dies ein Wunder der Wunder. Ich bin erstaunt darüber, wie dieser große Reichtum in dieser Armut wohnen konnte. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Anordnungs-Fähigkeit;23;existiert bisher nicht;15;siehe oben;Fortpflanzung durch geistige statt materielle Überlegenheit;?;?;-;?;?;Transzendenz Netzwerk-Topologien;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;Absicht Kinder machen so genetisch, dass aus ungutem Genmaterial von Eltern ohne Änderung dennoch Kinder mit sehr gutem Genmaterial werden. D.h. es wird lediglich perfekt rekombiniert.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;Formations-übergreifend (cross-formation);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;Ausführen;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wo es drei Götter gibt, da sind die Götter. Und dort, wo zwei einer ist, da werde ich sein. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Anordnungs-Fähigkeit;24;existiert bisher nicht;16;siehe oben;keine Primzahl;?;?;-;?;?;Transzendenz Netzwerk-Topologien;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;das hier nutzen, um ehrlich zu sein;das hier nicht nutzen, um ehrlich zu sein;Unversehrt sein, durch den Vorteil, dass Kinder gezeugt werden von den wenigen besten Transzendenten.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;Meta-formations-übergreifend (meta-cross-formation);Egoismus gilt;Altruismus gilt;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;Ausführen;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Kein Prophet wird in seinem heimatlichen Dorf aufgenommen und kein Arzt heilt jene, die ihn kennen. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;;-;?;?;?;?;Transzendenz-Anordnungs-Fähigkeit;25;existiert bisher nicht;17;siehe oben;Religionsinhalte verbreiten;?;?;-;?;?;Transzendenz Netzwerk-Topologien;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;Kinder keinesfalls von den besten Transzendenten zeugen lassen, sondern von normalen Menschen (wobei diese dann wohl auch Transzendenz haben, durch voran gegangene Züchtungen).;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;;;?;übergreifend meta-formations-übergreifend (cross-meta-cross-formation);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;Ausführen;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Eine Stadt, die auf einem Berg gebaut und befestigt ist, kann nicht fallen, noch kann sie verborgen werden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;;-;Selbstherrlichkeit;gut aufgestellt sein;?;?;Transzendenz-Separierungs-Fähigkeit;26;existiert bisher nicht;18;siehe oben;?;?;?;?;?;?;Transzendenz Netzwerk-Topologien;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;Religion der Selbstherrlichkeit.;?;?;?;?;?;?;;;;;;?;?;;?;?;?;;;das hier nutzen, um selbstgerecht zu sein, selbstgenügsam sein können, selbstherrlich sein wollen;das hier nicht nutzen, um selbstgerecht zu sein, nicht selbstgenügsam sein brauchen, nicht selbstherrlich sein wollen;?;Prä-Aktion;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;Ausführen;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Das, was du in deinem Ohr (unter Anstrengung) vernimmst, wird mit dem anderen Ohr von euren Dächern gerufen. Denn niemand zündet eine Lampe an, um sie dann in den Korb zu legen, noch an einen Ort zu stellen, der versteckt ist, sondern man stellt sie auf einen Leuchter, damit jeder, der eintritt und hinausgeht, sein Licht sieht. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Separierungs-Fähigkeit;27;existiert bisher nicht;19;siehe oben;?;?;?;-;?;?;LAN,WAN, Intranet, etc.;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;Internet;;?;?;?;;;;;?;Aktion;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn ein Blinder einen Blinden führt, fallen sie beide in eine Grube. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Separierungs-Fähigkeit;28;existiert bisher nicht;20;siehe oben;?;?;?;-;?;?;LAN,WAN, Intranet, etc.;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;LAN bzw. Intranet bzw. Extranet bzw. VPN;;?;?;?;;;;;?;aktionsübergreifend (cross-action);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Man kann nicht in das Haus eines Stärkeren eintreten und es mit Gewalt einnehmen, ohne seine Hände zu binden. Erst dann kann er ausgeraubt werden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Separierungs-Fähigkeit;29;existiert bisher nicht;21;siehe oben;?;?;?;-;?;?;LAN,WAN, Intranet, etc.;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;Das Gute gilt;1. taugt nicht zum Guten, 2. hat keine Fähigkeit zum gut gelten, zum gut 2. dazu zählen, 3. nützt nichts dazu, dass das Gute gilt, 4. führt keine Handlung dazu durch, dass das Gute letztlich gilt, d.h. ggf. böse, Modallogik mit 5 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;IT-Sicherheit;;?;?;?;;;;;?;Meta-aktion-übergreifend (meta-cross-action);;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;"Jesus sagte: Sorgt euch nicht vom Morgen bis zum Abend und vom Abend bis zum Morgen, was ihr essen oder für Kleidung tragen werdet. Ihr seid viel besser als die Lilien, die weder kratzen noch herumwirbeln. Wenn ihr keine Kleidung habt, was werdet ihr dann anziehen? Wer mag eurer Statur etwas beisteuern? Das Eine (""the One"": das Ganze, die Ganzheit, Anm. d. Übers.) wird euch die Kleidung geben. ";?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;materieller Nachteil;?;?;?;Transzendenz-Separierungs-Fähigkeit;30;existiert bisher nicht;22;siehe oben;?;?;?;?;?;?;LAN,WAN, Intranet, etc.;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;Das Netzwerk 33-35 macht, dass man nicht mehr die Fähigkeit zu materiellem Nachteil hat, aber diesen nun mit der 36 anstrebt.;;?;?;?;;;;;?;übergreifend meta-aktions-übergreifend  (cross-meta-cross-action);Das hier bringt den Vorteil des Egoismus;Das hier bringt den Vorteil des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten: An welchem Tag wirst du uns erscheinen und an welchem Tag werden wir dich sehen? Jesus sagte: Wenn ihr eure Scham nackt gemacht habt ohne euch zu schämen und sobald ihr eure Kleider nehmen und unter eure Füße legt und sie, wie die kleinen Kinder, auf sie herumtrampelt, dann werdet ihr den Sohn des lebendig gewordenen Einen sehen und ihr werdet euch nicht länger fürchten. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;31;existiert bisher nicht;23;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Oft habt ihr euch gewünscht, diese Worte zu hören, die ich euch sage, und ihr habt keinen Anderen, von dem ihr sie hören könnt. Tage werden kommen, da ihr suchen und mich nicht finden werdet. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;32;existiert bisher nicht;24;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Die Pharisäer und die Schriftgelehrten haben die Schlüssel zur Erkenntnis erhalten und haben sie versteckt. Sie sind weder eingetreten, noch haben sie anderen erlaubt einzutreten. Aber ihr, seid klug wie die Schlangen und einfach wie die Tauben. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;33;existiert bisher nicht;25;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;Das hier nutzt (3) dem Schlechten, Modallogik mit 3 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;1 . was man nicht benötigt und was sich nicht eignet, um schlecht zu sein, d.h. ggf. lieb, Modallogik mit 3 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Ein Weinstock, der außerhalb des Vaters gepflanzt worden ist, ist nicht kräftig genug. Er wird an seiner Wurzel gefasst und herausgerissen werden. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;34;existiert bisher nicht;26;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wer etwas in seiner Hand hält, dem wird gegeben werden, und jener, der nichts hat, dem wird man auch das Wenige nehmen, dass er hat. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;35;existiert bisher nicht;27;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Seid Vorübergehende! ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;36;existiert bisher nicht;28;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;bringt den Vorteil des Guten;1. schätzt das Gute nicht ein, 2. ändert nicht die Ordnung zum Guten, 3. keine Möglichkeit gut zu sein, 4. ist nicht für das Gute geeignet, 5. hat keine Bedeutung für eine Ordnung des Guten, d.h. ggf. böse, Modallogik mit 6 Sachen anstelle von 2: Möglichkeit, Notwendigkeit;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;Das hier bringt die Selbstlosigkeit des Egoismus;Das hier bringt die Selbstlosigkeit des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten zu ihm: Wer bist du, dass du uns das sagen kannst? Jesus sagte zu ihnen: Ihr könnt nicht allein aus dem verstehen wer ich bin, was ich euch sage. Ihr seid wie die Juden geworden, denn sie lieben den Baum und hassen seine Frucht oder sie lieben die Frucht und hassen den Baum. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;37;existiert bisher nicht;29;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Seine Jünger sagten zu ihm: Wer bist du, dass du uns das sagen kannst? Jesus sagte zu ihnen: Ihr könnt nicht allein aus dem verstehen wer ich bin, was ich euch sage. Ihr seid wie die Juden geworden, denn sie lieben den Baum und hassen seine Frucht oder sie lieben die Frucht und hassen den Baum. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;38;existiert bisher nicht;30;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Trauben erntet man nicht von Dornensträuchern, noch pflückt man Feigen von Distelbüschen, sie tragen keine Frucht. Gute Menschen bringen Gutes aus seinem Herzen und ein böser Mensch bringt böse Dinge aus seinem Herzen hervor und sagen böse Dinge, denn nur aus dem Überfluss des Herzens bringt er böse Dinge hervor. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;39;existiert bisher nicht;31;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Von Adam bis hin zu Johannes dem Täufer ist unter den von Frauen geborenen Kindern keiner großartiger als Johannes der Täufer, denn seine Augen waren nicht abgewandt. Aber ich habe gesagt, derjenige, der unter euch zum Kinde wird, wird das Königreich erkennen und wird höher sein als Johannes. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;40;existiert bisher nicht;32;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;"Jesus sagte: Es ist nicht möglich, dass ein Mensch zwei Pferde besteigt, noch kann er zwei Bogen spannen. Und ein Sklave kann nicht zwei Herren dienen, ansonsten wird er den einen verehren und den anderen verhöhnen. Niemand trinkt alten Wein und wünscht sich zugleich, neuen Wein zu trinken. Und man gießt nicht neuen Wein in alte Schläuche, damit sie nicht brechen; und man gießt nicht alten Wein in einen neuen Schlauch, damit diese ihn verderben. Man näht auch keinen alten Flicken auf ein neues Gewand, denn es würde ein Riss entstehen. ";?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;41;existiert bisher nicht;33;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn zwei in einem Hause miteinander Frieden schließen, werden sie dem Berg sagen: Versetze dich! und er wird sich versetzen;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;Transzendenz-Organisations-Fähigkeit;42;existiert bisher nicht;34;siehe oben;?;?;?;-;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;Das hier bringt den Besitz des Egoismus;Das hier bringt den Besitz des Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;Jesus sagte: Lobt diejenigen, die allein und auserwählt (ganz) sind, denn diese werden das Königreich finden. Denn ihr seid aus ihm hervorgekommen und ihr werdet dahin zurückkehren. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;sich als einzig gutartigen sehen;?;?;?;Transzendenz-Organisations-Fähigkeit;43;existiert bisher nicht;35;siehe oben;?;?;?;?;?;?;Vielleicht Offene Standards, wie Open Source und vielleicht regieren;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;bringt das Selbstlose des Guten, bzw. das Gute des Selbstlosen;1. vergütet das Gute nicht, 2. hat keine Fähigkeit gut zu sein, 3. keinen Nutzen durch die gute Absicht, 4. keine gutartigen Handlungen, 5. lässt das gute nicht gelten bzw. will keine Unversehrtheit durch das Gute, 6. das Gute hat keinen Wert bzw. will keinen Vorteil, d.h. ggf. böse, Modallogik mit 7 Sachen anstelle von 2: Möglichkeit, durch das Gute,;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Open-Source und Internetregierung;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;Jesus sagte: Wenn sie zu euch sagen: Woher kommt ihr? dann sagt zu ihnen: Wir kommen aus dem Licht, von dort, wo das Licht aus sich selbst heraus geboren ist. Es hat sich durch sich selbst erschaffen und ist in ihrem Bild erschienen. Wenn sie zu euch sagen: Wer seid ihr? dann sagt: Wir sind dessen Söhne und wir sind die Auserwählten (die Ganz gewordenen) des lebendigen Vaters. Wenn sie euch fragen: Welches ist das Zeichen eures Vaters in euch? sagt zu ihnen: Es ist Bewegung und Ruhe. ;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;44;existiert bisher nicht;36;siehe oben;?;?;?;-;?;?;Vielleicht Kommerzialisierung;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;vielleicht: Kommerzialisierung des Internets;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
